AU,Description,State,Status
6503,Brookwood - Apt 37,OR,1
6503,Brookwood - Apt 39,OR,1
6504,Wyndhaven - 196,OR,1
6504,Wyndhaven - 242,OR,1
6504,Wyndhaven - 248,OR,1
6504,Wyndhaven - 161,OR,1
6504,Wyndhaven - 136,OR,1
6504,Wyndhaven - 179,OR,1
6504,Wyndhaven - 317,OR,1
6504,Wyndhaven - 301,OR,1
6504,Wyndhaven - 105,OR,1
6504,Wyndhaven - 429,OR,1
6506,Simpson,OR,1
6508,86th AVE (Santiam),OR,1
6509,Alsea,OR,1
6512,89th CT,OR,1
6513,Doyle 2 - APT 2713,OR,1
6513,Doyle 1  - APT 2712,OR,1
6513,"Doyle 3 ",OR,1
6513,Trailwalk,OR,1
6513,182nd AVE,OR,1
6513,Wyndhaven - 107,OR,1
6515,Drake,OR,1
6516,55th,OR,1
6518,Tanager,OR,1
6519,Lonny,OR,1
6520,Birchwood,OR,1
6522,27th,OR,1
6523,Alder,OR,1
6524,Fourth,OR,1
6525,Clark CT - 2740,OR,1
6525,Clark CT - 2744,OR,1
6526,Ginger,OR,1
6528,Ginger ST - 2355 (Estabrook),OR,1
6529,Maple St. - APT 1603,OR,1
6529,Maple St. - APT 1605,OR,1
6529,Maple St. - APT 1607,OR,1
6529,Maple St. Apartment 1609,OR,1
6532,73rd - 2505,OR,1
6537,191st AVE,OR,1
6539,Pacific,OR,1
6541,Kathryn,OR,1
6548,Clinton - 2509,OR,1
6552,Heather Tech Dispatch,OR,1
6555,26th & Franklin - 3233,OR,1
6555,26th & Franklin - 2525,OR,1
6555,26th & Franklin - 2527,OR,1
6556,Heather ST,OR,1
6557,Main ST - 1811,OR,1
6557,Main ST - 1813,OR,1
6557,Main ST - 1815,OR,1
6558,79th - 5221,OR,1
6558,79th - 5223,OR,1
6558,79th - 5225,OR,1
6559,Ankeny,OR,1
6560,Garrett - Unit A,OR,1
6560,Garrett - Unit B,OR,1
6560,Garrett - Unit C,OR,1
6560,Garrett - Unit D,OR,1
6563,SW 3rd ST - 11841,OR,1
6563,SW 3rd ST - 11847,OR,1
6563,SW 3rd ST - 11855,OR,1
6563,SW 3rd ST - 11863,OR,1
6566,Cayuse,OR,1
6600,CO Regional Office,CO,1
6603,Ridge Road,CO,1
6607,Caley,CO,1
6608,Logan,CO,0
6609,Wellington,CO,1
6610,Delaware,CO,1
6613,Sherman,CO,1
6614,Gallup (HUD),CO,1
6617,Ten Eyck Host Home,CO,0
6617,Farina Host Home,CO,1
6617,Platz Host Home,CO,1
6617,Perez Host Home,CO,1
6617,Handley (I Care Home Care) Host Home,CO,1
6617,MacDonald (DOCHAS) Host Home,CO,1
6617,Baker (Gentle Days) Host Home,CO,1
6617,O'Leary Host Home,CO,1
6617,Hammond Host Home,CO,0
6617,Niki's Place,CO,1
6617,McGirl-Schmitz Host Home,CO,1
6621,Littleton Apartments - Apt 207,CO,1
6621,Littleton Apartments - Apt 209,CO,1
6621,Littleton Apartments - Apt 318,CO,1
6621,Littleton Apartments Apt D107,CO,1
6621,Littleton Apartments - Magnolia,CO,1
6626,Melick-Mayhew Day Program,CO,0
6628,Nelson-Ashcraft Day Program,CO,1
6633,Garcia Host Home,CO,1
6633,Wall Family Care Giver,CO,1
6633,Ogletree Host Home,CO,0
6633,Nicholson Host Home,CO,1
6633,Walker-Owens Host Home,CO,1
6633,Windford Host Home,CO,1
6633,Matthew Host Home,CO,1
6633,Roberts Host Home,CO,1
6633,Garcia Family Caregiver,CO,1
6633,Johnson Host Home,CO,0
6633,Temple host home,CO,1
6633,Webb Host Home,CO,1
6633,Westphal Host Home,CO,1
6633,Ansu Host Home,CO,1
6637,Jacobs Family Care Giver,CO,1
6637,Soto Family Care Giver,CO,1
6637,Myers Family Care Giver,CO,1
6637,Bright Family Care Giver,CO,1
6637,"Johnsen Family Care Giver ",CO,1
6638,Aserese Host Home,CO,0
6638,Orekoya Host Home,CO,1
6638,Boahene Host Home,CO,1
6638,Alva Host Home,CO,1
6638,Sibuea (Arian Living)  Host Home,CO,1
6638,Leggese Host Home,CO,1
6638,Belayneh Host Home,CO,1
6638,Torres Host Home,CO,1
6638,Demise Host home,CO,1
6638,Bernier Host Home,CO,1
6638,Ceesay Host Home,CO,1
6638,Woods Host Home,CO,1
6638,Ali Host Home,CO,1
6638,Hughes (Ahn House) Host Home,CO,1
6638,Francis (Kiran Francis Host Home) Host Home,CO,1
6638,Groth (Heart Full Purpose) Host Home,CO,1
6638,Taylor Host Home,CO,1
6638,Tambunan Host Home,CO,1
6638,Deguma (Misrak Service) Host Home,CO,1
6638,Akinola Host Home,CO,1
6638,Rogers Host Home,CO,1
6638,Kumsa Host Home,CO,1
6638,Haddis Host Home,CO,1
6638,Sianturi Host Home,CO,1
6638,Albright Host Home,CO,1
6638,Nigussie Host Home,CO,1
6638,Mamo Host Home,CO,1
6638,Sukmarayanti Host home,CO,1
6638,Woldeyohannes Host Home,CO,1
6640,High Street,CO,1
6801,Rogers,CA,1
6802,Dewitt,CA,1
6803,Browning,CA,1
6805,Mitchell,CA,1
6806,Helm,CA,1
6807,Ashcroft,CA,1
6808,Richert,CA,1
6809,Filbert,CA,1
6811,Gateway,CA,1
6900,OR Regional Office,OR,1
6901,Olympia,WA,1
6902,105th,WA,1
6903,19th,WA,1
6904,113th,WA,1
6911,415 Williams - Apt 310,WA,0
6912,417 Williams #103,WA,0
6913,417 Williams AVE South #309,WA,0
6914,3603 NE 10th Ln,WA,1
6915,236 Williams Ave N,WA,1
6916,600 SW 5th Ct #1-202,WA,0
6916,Olympia 2,WA,1
6921,359 Factory Ave N #353,WA,0
6921,116th Street,WA,0
6923,353 Factory Ave N #355,WA,0
6924,417 Williams AVE South #106,WA,1
6926,24015 110th PL SE #Q203,WA,1
6950,WA Regional Office,WA,1
7401,"141st ",OR,0
9155,Thrift Store - Watertown,WI,1
9156,Thrift Store - Sheboygan,WI,1
9158,Thrift Store - Horicon DC,WI,1
9159,Thrift Store - Wausau,WI,1
9161,Thrift Store - Eau Claire,WI,1
9162,Thrift Store - Neenah,WI,1
9169,Thrift Store - Minnetonka,MN,1
9170,Thrift Store - Saginaw,MI,1
9171,Thrift Store - Valparaiso,IN,1
9173,Thrift Store - Ballwin,MO,0
9174,Thrift Store - Wichita,KS,1
9182,Thrift Store - Hales Corners,WI,0
9183,Thrift Stores - Horicon,WI,1
9184,Thrift Store - Appleton,WI,1
9187,Thrift Store - Green Bay,WI,1
9189,Thrift Store - Crystal Lake,IL,1
