Name,Sanction,Description
Conditional Licensing,Conditional Licensing,Conditional Licensing
Decertification,Decertification,Decertification
Hold on Admission,Hold on Admission,Hold on Admission
Immediate Jeopardy,Immediate Jeopardy,Immediate Jeopardy
Revisit Required,Revisit Required,Revisit required prior to license being issued
